,train_auc,test_auc
0,0.7591748712911651,0.7568156468773493
1,0.7630355207339479,0.7606481305764464
2,0.7597034405303575,0.7562611800722014
3,0.7565083669057378,0.7534320004079684
4,0.7628827583029324,0.7606867612515541
5,0.7684619583307478,0.7651153734997077
6,0.7648597736907349,0.7631423392753818
7,0.767238728457654,0.7654214019535601
8,0.7595918776163388,0.7580835192158618
9,0.7687163429867145,0.7657521342321324
10,0.7613490994340739,0.758669505554927
11,0.7621551958449839,0.7597541003581395
12,0.7648026388842876,0.7630920834997359
13,0.758720663190286,0.7566430308860774
14,0.7683730062004301,0.7655750592337053
15,0.7698055470965178,0.7671639665795951
16,0.7624990609539047,0.7592413084977065
17,0.766514429012498,0.7637386250061289
18,0.740519968585805,0.7383131303319654
19,0.7607053850447321,0.7586479467966666
20,0.7676563580917097,0.765173199272469
21,0.764350037639749,0.7615594203881767
22,0.7659783317212436,0.7637845969667122
23,0.7550914907280861,0.7538018764534432
24,0.7663156534847612,0.7642517991782782
25,0.7639283530885461,0.7617547137269413
26,0.7668165455525551,0.7640425045938856
27,0.7427137525760972,0.7404892760468589
28,0.7622122182089909,0.7589179508647865
29,0.7530611023437488,0.7496796305588443
30,0.768394308178674,0.7666696892078153
31,0.7547877994142649,0.7520023752159168
32,0.7600074145527036,0.7574910265167211
33,0.7421138914544438,0.7405832687535916
34,0.7625715815547116,0.7596661489133156
35,0.7649979079671445,0.7625783427162446
36,0.7653144719288248,0.7617514462716132
37,0.7662702194768356,0.7639536159941638
38,0.7645170525762474,0.7610091622865284
39,0.7666042663628032,0.7643581371969679
40,0.7478551416315671,0.7460901244776044
41,0.7643385889332235,0.7610100917665391
42,0.7679645191800498,0.7647742556660525
43,0.7618969963627326,0.7596215700982644
44,0.7683965929626928,0.7657668703226308
45,0.7694273315039719,0.7668895042206425
46,0.7650392913537836,0.7625838180831341
47,0.7632548213369915,0.7612913093565777
48,0.7624819482918676,0.7596286826721004
49,0.7668634439374522,0.7640971581822524
50,0.7638995165803555,0.7615544907569358
51,0.7638708394281278,0.7614789715037925
52,0.763520502980606,0.7601985119408772
53,0.7644344233386893,0.7618822594033829
54,0.7649330453170343,0.7627527975081676
55,0.7573183528431707,0.754731304684352
56,0.7668602372140679,0.7648271983685556
57,0.7673875543122471,0.7636795450544606
58,0.7697517062944272,0.7665640853176733
59,0.7668989024121097,0.7650435853674136
60,0.7593888239571868,0.7574707809828336
61,0.7677280254869168,0.7654344132410659
62,0.7690630721048264,0.7663155120930262
63,0.7591392801562484,0.7569349085874982
64,0.7676356145412186,0.7656881323241104
65,0.7652368113992822,0.7634647410266788
66,0.7687822727489955,0.7657536435242912
67,0.7616162204977571,0.7600287851864901
68,0.7675871578159277,0.7650607261535824
69,0.765616130618812,0.7632477679734311
70,0.7653168911119035,0.7627433150314834
71,0.7671253561340691,0.7649849510708644
72,0.7673738639507773,0.7644025679378613
73,0.7651944401011365,0.7618643657619416
74,0.7402299311186408,0.7380519427649807
75,0.7665795945207639,0.7641293583251704
76,0.768709803493948,0.7658562233041967
77,0.7628726916360551,0.7606184352097287
78,0.7694078116599898,0.7668683695254853
79,0.7647792960655241,0.7621164330045882
80,0.761260150644981,0.7592390727518873
81,0.7690594876866713,0.7664867481395721
82,0.7661300919212176,0.7637482750000186
83,0.7698974018646754,0.7676896550135525
84,0.7673333358835741,0.7644537066325354
85,0.7664269997305848,0.7642313590092504
86,0.7683115522473294,0.7652309847264893
87,0.7693030399556984,0.7669722430867159
88,0.7565862207489966,0.7550166371396017
89,0.7644872199398646,0.7620305087533142
90,0.7614487393581267,0.7596327433014419
91,0.7629048358203484,0.7604560420659302
92,0.7680663953039863,0.7646894624884943
93,0.7582267162331218,0.7553612984175302
94,0.7617216854038968,0.7581527747376982
95,0.7692318119315429,0.7675715584536184
96,0.7626939087015049,0.7594827163452935
97,0.7660733970654221,0.7640719566155121
