,train_auc7,test_auc7
0,0.6771690183093759,0.6724248153644393
1,0.7021535516611835,0.6997981607001419
2,0.6455432250638434,0.6402059853664402
3,0.6767729860934832,0.6740281827190729
4,0.6255221013712121,0.6195983974923842
5,0.7049170418416394,0.6991923315133731
6,0.6982776040923181,0.693310090480261
7,0.7049786294933953,0.701550999970846
8,0.678961704865294,0.6761016278823594
9,0.6840676042822984,0.6791942056956076
10,0.6853469677490012,0.6799531396679687
11,0.684620263765941,0.6824258298647716
12,0.6566443680870133,0.6485715448915429
13,0.6542778854487329,0.6485679120220214
14,0.710610939105009,0.7048714861060661
15,0.6647347700746661,0.6576034083967405
16,0.7012448179394608,0.6980237269473408
17,0.7121703087293807,0.7049999041667943
18,0.656145461172372,0.65040645343767
